hex_id,value
851958d7fffffff,9
851958dbfffffff,13
85195903fffffff,25
85195907fffffff,40
8519590bfffffff,14
8519590ffffffff,27
85195913fffffff,27
85195917fffffff,57
8519591bfffffff,8
85195933fffffff,23
8519593bfffffff,3
85195943fffffff,8
85195947fffffff,29
8519594bfffffff,15
8519594ffffffff,10
85195953fffffff,13
85195957fffffff,9
8519595bfffffff,17
85195963fffffff,4
8519596bfffffff,1
85195973fffffff,23
8519597bfffffff,21
85195983fffffff,15
85195987fffffff,14
8519598bfffffff,28
8519598ffffffff,18
85195993fffffff,48
85195997fffffff,18
8519599bfffffff,18
851959a3fffffff,19
851959abfffffff,157
851959b3fffffff,39
851959b7fffffff,25
851959bbfffffff,75
851959c3fffffff,12
851959c7fffffff,7
851959cbfffffff,7
851959cffffffff,36
851959d3fffffff,10
851959d7fffffff,33
851959dbfffffff,9
85195a03fffffff,7
85195a0bfffffff,1
85195a13fffffff,36
85195a17fffffff,72
85195a1bfffffff,7
85195a23fffffff,12
85195a27fffffff,5
85195a2bfffffff,25
85195a2ffffffff,25
85195a37fffffff,8
85195a43fffffff,26
85195a4bfffffff,12
85195a53fffffff,10
85195a57fffffff,4
85195a5bfffffff,12
85195a83fffffff,2
85195a87fffffff,12
85195a8bfffffff,6
85195a8ffffffff,11
85195a93fffffff,2
85195a97fffffff,2
85195a9bfffffff,7
85195aa3fffffff,43
85195aa7fffffff,17
85195aabfffffff,19
85195aaffffffff,1
85195ab3fffffff,41
85195ab7fffffff,63
85195abbfffffff,57
85195ac3fffffff,2
85195ac7fffffff,21
85195acbfffffff,2
85195acffffffff,4
85195ad3fffffff,4
85195ad7fffffff,1
85195adbfffffff,4
85195b03fffffff,26
85195b0bfffffff,28
85195b13fffffff,8
85195b17fffffff,17
85195b1bfffffff,8
85195b43fffffff,22
85195b47fffffff,45
85195b4bfffffff,13
85195b4ffffffff,17
85195b53fffffff,6
85195b57fffffff,15
85195b5bfffffff,10
85195b63fffffff,52
85195b6bfffffff,17
85195b6ffffffff,8
85195b73fffffff,37
85195b7bfffffff,61
85195b83fffffff,20
85195b87fffffff,31
85195b8bfffffff,7
85195b8ffffffff,26
85195b93fffffff,34
85195b97fffffff,12
85195b9bfffffff,21
85195ba3fffffff,44
85195ba7fffffff,12
85195babfffffff,3
85195baffffffff,1
85195bb3fffffff,10
85195bbbfffffff,6
85195bc3fffffff,15
85195bc7fffffff,2
85195bcbfffffff,11
85195bcffffffff,8
85195bd7fffffff,15
85195bdbfffffff,15
85195c03fffffff,76
85195c07fffffff,48
85195c0bfffffff,19
85195c0ffffffff,191
85195c13fffffff,13
85195c17fffffff,22
85195c1bfffffff,12
85195c23fffffff,5
85195c27fffffff,8
85195c2bfffffff,33
85195c2ffffffff,13
85195c33fffffff,13
85195c37fffffff,42
85195c3bfffffff,24
85195c43fffffff,15
85195c47fffffff,61
85195c4bfffffff,31
85195c4ffffffff,13
85195c53fffffff,9
85195c57fffffff,19
85195c5bfffffff,5
85195c63fffffff,31
85195c67fffffff,43
85195c6bfffffff,21
85195c6ffffffff,11
85195c73fffffff,25
85195c77fffffff,65
85195c7bfffffff,10
85195c83fffffff,20
85195c87fffffff,34
85195c8bfffffff,22
85195c8ffffffff,60
85195c93fffffff,65
85195c97fffffff,25
85195c9bfffffff,21
85195ca3fffffff,47
85195ca7fffffff,37
85195cabfffffff,24
85195caffffffff,21
85195cb3fffffff,45
85195cb7fffffff,101
85195cbbfffffff,24
85195cc3fffffff,74
85195cc7fffffff,24
85195ccbfffffff,41
85195ccffffffff,13
85195cd3fffffff,35
85195cd7fffffff,24
85195cdbfffffff,47
85195d03fffffff,30
85195d07fffffff,62
85195d0bfffffff,54
85195d0ffffffff,22
85195d13fffffff,11
85195d17fffffff,52
85195d1bfffffff,27
85195d23fffffff,57
85195d27fffffff,51
85195d2bfffffff,56
85195d2ffffffff,89
85195d33fffffff,92
85195d37fffffff,88
85195d3bfffffff,45
85195d43fffffff,10
85195d47fffffff,35
85195d4bfffffff,8
85195d4ffffffff,22
85195d53fffffff,15
85195d57fffffff,20
85195d5bfffffff,7
85195d63fffffff,13
85195d67fffffff,11
85195d6bfffffff,8
85195d6ffffffff,28
85195d73fffffff,38
85195d77fffffff,27
85195d7bfffffff,16
85195d83fffffff,48
85195d87fffffff,47
85195d8bfffffff,54
85195d8ffffffff,31
85195d93fffffff,24
85195d97fffffff,27
85195d9bfffffff,13
85195da3fffffff,86
85195da7fffffff,307
85195dabfffffff,51
85195daffffffff,81
85195db3fffffff,62
85195db7fffffff,72
85195dbbfffffff,85
85195dc3fffffff,22
85195dc7fffffff,22
85195dcbfffffff,10
85195dcffffffff,27
85195dd3fffffff,21
85195dd7fffffff,95
85195ddbfffffff,12
85195e0bfffffff,3
85195e13fffffff,2
85195e17fffffff,1
85195e1bfffffff,1
85195e23fffffff,8
85195e27fffffff,5
85195e2ffffffff,2
85195e33fffffff,1
85195e37fffffff,3
85195e3bfffffff,8
85195e47fffffff,5
85195e53fffffff,3
85195e57fffffff,3
85195e5bfffffff,3
85195e63fffffff,1
85195e67fffffff,2
85195e6bfffffff,10
85195e6ffffffff,5
85195e73fffffff,17
85195e77fffffff,1
85195e7bfffffff,7
85195e83fffffff,6
85195e87fffffff,11
85195e93fffffff,21
85195e97fffffff,10
85195e9bfffffff,6
85195ea3fffffff,6
85195ea7fffffff,4
85195eabfffffff,4
85195eaffffffff,7
85195eb3fffffff,9
85195eb7fffffff,7
85195ebbfffffff,4
85195ec3fffffff,2
85195ec7fffffff,1
85195ecbfffffff,7
85195ecffffffff,2
85195ed3fffffff,4
85197203fffffff,29
8519720bfffffff,15
8519720ffffffff,67
85197213fffffff,10
85197217fffffff,8
8519721bfffffff,3
8519722bfffffff,10
85197233fffffff,6
8519723bfffffff,62
85197243fffffff,1
85197247fffffff,3
8519724bfffffff,1
8519724ffffffff,28
85197253fffffff,3
8519725bfffffff,3
85197263fffffff,23
85197267fffffff,1
8519726bfffffff,5
8519726ffffffff,2
85197273fffffff,23
85197277fffffff,228
8519727bfffffff,20
85197283fffffff,5
8519728bfffffff,82
8519728ffffffff,15
85197293fffffff,11
851972abfffffff,6
851972affffffff,4
851972bbfffffff,7
851972c3fffffff,5
851972c7fffffff,2
851972cbfffffff,4
851972cffffffff,26
851972d3fffffff,1
851972d7fffffff,3
851972dbfffffff,1
85197303fffffff,4
8519730bfffffff,2
85197313fffffff,1
85197317fffffff,8
85197323fffffff,134
85197327fffffff,67
8519732bfffffff,13
8519732ffffffff,28
85197333fffffff,15
85197337fffffff,153
85197343fffffff,4
8519734bfffffff,3
8519734ffffffff,1
85197353fffffff,1
8519735bfffffff,7
85197367fffffff,13
8519736ffffffff,2
85197373fffffff,2
85197377fffffff,3
8519737bfffffff,2
8519738bfffffff,3
8519738ffffffff,3
851973abfffffff,3
851973affffffff,10
851973bbfffffff,6
851973c3fffffff,1
851973c7fffffff,4
851973d3fffffff,3
851973d7fffffff,18
851973dbfffffff,4
85197603fffffff,1
8519760bfffffff,1
85197613fffffff,1
85197617fffffff,3
8519761bfffffff,1
8519762bfffffff,11
85197633fffffff,1
8519763bfffffff,4
85197647fffffff,2
8519765bfffffff,1
85197667fffffff,9
8519766ffffffff,5
85197683fffffff,2
8519768bfffffff,7
8519768ffffffff,28
85197697fffffff,1
8519769bfffffff,2
851976bbfffffff,48
851976c3fffffff,2
851976c7fffffff,2
851976cbfffffff,1
851976cffffffff,1
